Price,Close,High,Low,Open,Volume
Ticker,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS
Date,,,,,
2007-10-05,32.5454216003418,35.4246891776911,26.90011689528922,29.051480080819935,855215656
2007-10-08,30.87933349609375,33.64537091874948,30.685224759991605,33.64537091874948,126671715
2007-10-09,32.9821662902832,33.27332717981798,29.229413747593593,30.89550520408466,116725709
2007-10-10,33.28950500488281,33.968883374439955,32.99834410019465,33.83947682149577,67931378
2007-10-11,37.009910583496094,38.82158501909971,32.99834858261307,38.82158501909971,106320954
2007-10-12,36.767276763916016,38.142207627787506,35.909967808734656,36.23348095317501,99410791
2007-10-15,37.252532958984375,37.75398078361257,36.9290199319699,37.52751990953193,41814972
2007-10-16,41.0538215637207,41.70085217174976,37.04225987667578,37.301068609545496,138614496
2007-10-17,44.25660705566406,45.29184642634732,34.32475013602845,36.88050514839878,204876259
2007-10-18,42.703739166259766,48.349044673798645,40.87589097789229,44.9683309293873,146617799
2007-10-19,42.55815887451172,44.28895480297188,40.439145478534954,41.733197853020734,110266491
2007-10-22,41.99201202392578,43.302238331097136,40.60090305337393,41.70085110987962,72253405
2007-10-23,44.9845085144043,45.38889989435569,43.02725160268316,43.02725160268316,74594921
2007-10-24,44.288944244384766,46.424131030838254,43.78749643606155,45.93885711816935,63055170
2007-10-25,44.1919059753418,45.22714981126027,39.031869473945804,42.78462289424035,34522489
2007-10-26,45.51830291748047,46.246207379950434,43.755154797660126,44.96832890177674,62370025
2007-10-29,46.44032669067383,47.556448875821474,46.03593523053746,46.262396203385094,43657697
2007-10-30,47.47557067871094,48.75344506253978,45.68006995935886,47.07117921776608,79921711
2007-10-31,48.46227264404297,49.52986848158515,47.556437740607606,47.71819428678729,44655368
2007-11-01,47.37849426269531,50.03130289119949,46.99028125545107,49.659263780451376,50632492
2007-11-02,48.235816955566406,48.52698228060946,45.291846618226735,45.66389022513117,32001693
2007-11-05,49.222530364990234,50.30630012567762,47.912299679528566,48.203464979360426,38833135
2007-11-06,49.86956024169922,53.023813193798766,49.190181805199956,50.07984289425368,81880281
2007-11-07,49.14164733886719,51.50329098122448,48.04170378472717,50.791564864040616,33593141
2007-11-08,48.300514221191406,49.61074482709531,47.23292281305665,47.87994897263577,27990521
2007-11-12,49.46516418457031,50.33865129046459,45.566828782844695,46.84470725481463,35153735
2007-11-13,50.64599609375,51.665061659844895,48.70491715340619,50.306309034361036,43830531
2007-11-14,49.98279571533203,52.24738780504618,49.72398255803647,51.53565710739339,36738579
2007-11-15,50.82392883300781,51.71358997671887,49.8695633054921,50.92098102078698,29242252
2007-11-16,50.46803665161133,51.61650594376045,49.88571067091948,50.597440962456574,18895294
2007-11-19,52.295902252197266,54.188454668917274,51.22831083144599,51.616523899025076,40716718
2007-11-20,51.487117767333984,53.54142665500563,50.856265520876896,52.08561782896024,26342171
2007-11-21,47.47557067871094,52.10180723674885,46.32709629687063,51.794472359187665,26814499
2007-11-22,45.8418083190918,48.882834406764225,43.852203999806086,46.97410395958749,34096185
2007-11-23,48.88283920288086,49.174000089990145,46.132973703948856,48.85048701810719,27664090
2007-11-26,49.271053314208984,50.69450998346952,48.88284025237082,50.69450998346952,20159123
2007-11-27,48.057884216308594,50.11219335595317,47.55644064766986,50.11219335595317,20573198
2007-11-28,47.34614944458008,49.33575841932562,47.02263636093716,49.10929750560477,16435311
2007-11-29,46.06827163696289,48.7857804401813,45.46977160348626,48.526971749561135,25530967
2007-11-30,47.847591400146484,48.13875226159133,46.262378365234376,46.90940445196801,18437721
2007-12-03,48.5269660949707,49.1254660587073,48.057870461465384,48.42990955635263,16851227
2007-12-04,47.89613342285156,49.25489041246924,47.540268079101416,48.85049897364587,14008727
2007-12-05,49.80485534667969,49.98279019540638,47.87995491575877,47.977007096571505,27725290
2007-12-06,48.88283920288086,51.6488742123094,48.25198695753834,50.88861761579908,24104710
2007-12-07,48.672542572021484,49.88571635170741,47.79906008340322,49.19016426227268,11742386
2007-12-10,48.721092224121094,49.319588014164644,48.0902398550299,49.14165754489673,8330010
2007-12-11,48.49464797973633,49.43283551783593,48.25201304464526,49.15784838048021,11685950
2007-12-12,48.46227264404297,48.89901619631353,47.556437740607606,47.87995083296697,16342131
2007-12-13,47.65349197387695,49.17400532889004,47.475561520555715,48.52697911619125,14620172
2007-12-14,47.18439483642578,47.928477592054016,46.94176001375016,47.49173403365245,10991851
2007-12-17,44.337486267089844,47.718200260649056,43.67428171197001,47.45938712160436,19355678
2007-12-18,44.143375396728516,45.6153583256099,42.76844464788838,43.836036180052076,21607783
2007-12-19,43.3345832824707,45.95503984715359,42.96254415509771,45.566822434635185,19526912
2007-12-20,42.89785385131836,44.256610852576145,42.70374508143468,43.900745505777394,17105204
2007-12-24,44.20807647705078,44.90362874992519,43.18900672301207,43.54487200315835,16711519
2007-12-26,45.55066680908203,46.100640966105594,44.45072288296319,44.45072288296319,20930094
2007-12-27,45.87417984008789,47.13588035095604,45.48596227308464,46.48885399790281,44565277
2007-12-28,46.23002624511719,46.42413494898207,45.291834907757966,45.777104473456944,18354518
2007-12-31,46.56972885131836,46.84471590863475,46.00358083422556,46.585907141706365,11982308
2008-01-01,47.427040100097656,47.86378375464772,46.37562230370181,46.812365958251874,16687746
2008-01-02,47.16822052001953,47.78289452111501,46.47266824541341,47.42702924008274,13437280
2008-01-03,49.10929489135742,49.30340360879554,46.310907744398854,46.87705561063606,31815218
2008-01-04,48.850486755371094,50.46805210608601,48.526973685228114,49.82102596580005,28011310
2008-01-07,48.44610595703125,49.562223659077276,47.928484054609655,48.54315814401689,15858063
2008-01-08,46.79618453979492,49.17400682120997,46.230036586502166,48.494628399673175,13282666
2008-01-09,46.052101135253906,47.054992659791424,45.93887066849642,46.8447100146289,13113527
2008-01-10,44.952144622802734,47.5564270644021,44.64480549888675,46.26237498547357,18023003
2008-01-11,45.631534576416016,46.068278142952465,43.8360342224167,45.56683020065977,11629440
2008-01-14,46.327083587646484,46.812353207653,44.984505183213855,45.71240961322363,10264240
2008-01-15,44.919795989990234,47.26526556824016,44.54775686550831,47.07116125141585,11558334
2008-01-16,43.99777603149414,44.968315015074495,42.88165883313223,44.59627594895385,14834065
2008-01-17,45.17860412597656,46.18149533441268,43.22134778301192,44.15953463428724,16169395
2008-01-18,43.07578659057617,44.855108848736755,42.70374297170948,44.80657836771744,13254156
2008-01-21,35.74821472167969,42.70374800525613,31.138149769996275,42.70374800525613,33202389
2008-01-22,32.157203674316406,33.968877553369225,25.54136033342955,32.22190584271904,58755707
2008-01-23,35.74821472167969,37.12314571959596,32.67483954986684,32.67483954986684,28425991
2008-01-24,35.8290901184082,38.368669222079895,34.130646081853804,37.67311682755272,29911930
2008-01-25,37.67311477661133,37.85104524415448,36.152601300064134,37.5275321119468,12550722
2008-01-28,38.07749938964844,38.36866027903639,34.130638126616915,37.15548624998083,13601109
2008-01-29,37.44664764404297,38.724526060374416,36.88049975618698,38.174552071286385,7679877
2008-01-30,35.37615966796875,37.6892769669166,34.907064016857944,37.52752045107512,9016102
2008-01-31,33.06306076049805,35.845275442795426,32.67484531956376,35.748221034070724,41538563
2008-02-01,34.211524963378906,34.45415982995708,33.32186378592559,33.62920084479848,9089201
2008-02-04,35.97467041015625,36.39523794153017,34.858550487868364,34.858550487868364,12009385
2008-02-05,37.09078598022461,37.57605564549223,35.262937785302036,36.03936837214476,14593303
2008-02-06,36.767276763916016,37.20402038649606,34.712969613098146,36.071724380954834,12429218
2008-02-07,35.036476135253906,37.51135253882172,34.81001741574167,36.26582629055914,11300078
2008-02-08,34.13064193725586,35.55409874602265,33.499789616542415,35.262937824126986,13514197
